date,news
2022-02-24,"{'russian': 0.41325, 'forc': 0.39029, 'airport': 0.23342, 'ukrainian': 0.22958, 'kyiv': 0.20169, 'hostomel': 0.14727, 'time': 0.1351, 'crippl': 0.13364, 'air': 0.12363, 'frontal': 0.12277, 'airlift': 0.12203, 'local': 0.1129, 'chernobyl': 0.10867, 'secur': 0.09756, 'advanc': 0.09443, 'contest': 0.0906, 'airborn': 0.08827, 'km': 0.08771, 'not': 0.08418, 'boryspil': 0.08135, 'enabl': 0.07946, 'breakout': 0.07859, 'envelop': 0.07781, 'russia': 0.07672, 'ukrain': 0.07653, 'exclu': 0.07594, 'seven': 0.07549, 'success': 0.0748, 'missil': 0.07128, 'land': 0.07074, 'halt': 0.07063, 'dnipro': 0.06964, 'zero': 0.06679, 'depth': 0.06575, 'contact': 0.06481, 'vdv': 0.06339, 'as': 0.06279, 'element': 0.06275, 'flank': 0.06195, 'conduct': 0.06153, 'odesa': 0.0613, 'oper': 0.06122, 'kharkiv': 0.06114, 'axe': 0.06079, 'armi': 0.06045, 'penetr': 0.05697, 'belaru': 0.05621, 'twenti': 0.0555, 'militari': 0.05384, 'zone': 0.05328, 'estim': 0.05231, 'breakthrough': 0.05231, 'amphibi': 0.05231, 'combin': 0.05169, 'thirti': 0.05105, 'sea': 0.05097, 'donba': 0.05005, 'assault': 0.04992, 'onto': 0.04911, '8th': 0.0484, 'off': 0.04816, 'line': 0.04782, 'defen': 0.04698, 'isol': 0.04677, 'crimea': 0.04656, 'western': 0.0465, 'overnight': 0.04617, 'cut': 0.04582, 'earlier': 0.04448, 'confirm': 0.04401, 'februari': 0.04399, 'chernihiv': 0.0437, 'particip': 0.04355, 'belarusian': 0.04355, 'strike': 0.04334, 'troop': 0.04323, 'crimean': 0.04321, 'initi': 0.04243, 'problemat': 0.04237, 'incomplet': 0.04237, 'deepest': 0.04237, 'failur': 0.04216, 'both': 0.04106, 'short': 0.04073, 'lithuania': 0.04068, 'decapit': 0.04068, 'key': 0.04032, 'through': 0.0403, 'capabl': 0.04021, 'appear': 0.04021, 'guard': 0.03984, 'ha': 0.03954, 'arm': 0.03934, 'medium': 0.0393, 'intact': 0.0393, '74th': 0.0393, 'day': 0.03925, 'side': 0.03879, 'sever': 0.03874, 'report': 0.03836}"
2022-02-25,"{'russian': 0.41823, 'forc': 0.4003, 'kyiv': 0.26244, 'februari': 0.25184, 'ukrainian': 0.24496, 'twenti': 0.17333, 'envelop': 0.14174, 'bypass': 0.13975, 'local': 0.1202, 'enter': 0.11965, 'time': 0.11954, 'zero': 0.11299, 'chernihiv': 0.10236, 'belaru': 0.09874, 'frontal': 0.09585, 'advanc': 0.07986, 'report': 0.07787, 'am': 0.07356, 'fail': 0.07249, 'not': 0.0717, 'cloth': 0.06898, 'citi': 0.06639, 'odessa': 0.06615, 'east': 0.06378, 'dnipro': 0.06343, 'capabl': 0.06279, 'may': 0.06253, 'verg': 0.06136, 'as': 0.06128, 'amphibi': 0.06126, 'militari': 0.06005, 'stolin': 0.05953, 'air': 0.0594, 'determin': 0.05629, 'next': 0.05592, 'captur': 0.05501, 'kherson': 0.05487, 'isol': 0.05478, 'kharkiv': 0.05455, 'rivn': 0.05221, 'axi': 0.05028, 'success': 0.05006, 'downtown': 0.04976, 'broad': 0.04976, 'outskirt': 0.04965, 'had': 0.04952, 'bank': 0.04952, 'vdv': 0.04949, 'element': 0.04899, 'defen': 0.0489, 'southeastern': 0.0487, 'confirm': 0.0481, 'ukrain': 0.0478, 'reportedli': 0.04761, 'hour': 0.04753, 'axe': 0.04746, 'through': 0.04719, 'it': 0.04688, 'hostomel': 0.04599, 'airborn': 0.04594, 'assault': 0.04547, 'crimea': 0.04544, 'mariupol': 0.04358, 'line': 0.04355, 'western': 0.04236, 'unconfirm': 0.04193, 'refrain': 0.04156, 'land': 0.04142, 'after': 0.04115, 'use': 0.04102, 'airport': 0.0405, 'troop': 0.0405, 'pin': 0.03984, 'sea': 0.03979, 'west': 0.03938, 'seiz': 0.03872, 'far': 0.0383, 'sever': 0.03781, 'be': 0.03771, 'yet': 0.0376, 'fulli': 0.0376, 'their': 0.03667, 'staff': 0.03658, 'do': 0.0364, 'conduct': 0.03603, 'russia': 0.03594, 'odesa': 0.0359, 'now': 0.0354, 'assembl': 0.03494, 'runway': 0.03478, 'est': 0.03478, 'earlier': 0.03473, 'they': 0.03409, 'civil': 0.03393, 'take': 0.03355, 'littl': 0.03336, 'later': 0.03336, 'divi': 0.03179, 'shmyhal': 0.03176, 'eman': 0.03176}"
2022-02-26,"{'russian': 0.41509, 'forc': 0.38831, 'februari': 0.29931, 'kyiv': 0.29016, 'ukrainian': 0.22763, 'twenti': 0.20348, 'six': 0.17057, '11am': 0.11862, 'advanc': 0.11474, 'isol': 0.10912, 'enter': 0.09833, 'zaprozhia': 0.09167, 'ukrain': 0.0848, 'mariupol': 0.08464, 'as': 0.0824, 'halt': 0.08239, '3pm': 0.07794, 'local': 0.07782, 'broad': 0.07434, 'northeast': 0.0721, 'time': 0.06829, 'yet': 0.06554, 'citi': 0.06312, 'capabl': 0.06254, 'crimea': 0.0611, 'dnipro': 0.06093, 'envelop': 0.06051, 'night': 0.0588, 'east': 0.05823, 'not': 0.05802, 'downtown': 0.05576, 'threaten': 0.05489, 'commit': 0.05422, 'continu': 0.0537, '9am': 0.05196, 'axi': 0.05165, 'land': 0.05157, 'drive': 0.05131, 'chernihiv': 0.05098, 'remain': 0.05057, 'river': 0.05005, 'encircl': 0.04986, '6am': 0.04942, 'report': 0.04922, 'axe': 0.04727, 'may': 0.04672, 'mikolayiv': 0.04584, 'amphibi': 0.04576, 'north': 0.04526, 'russia': 0.04475, 'pin': 0.04464, 'il': 0.04448, 'hour': 0.04438, 'air': 0.04437, 'capitul': 0.04429, 'west': 0.04412, 'earli': 0.04319, 'next': 0.04178, 'they': 0.04075, 'troop': 0.04034, 'armor': 0.03979, 'overcom': 0.03971, 'retain': 0.03964, 'if': 0.03913, 'rivn': 0.039, 'donba': 0.03892, 'along': 0.03795, 'heavi': 0.0378, 'contact': 0.0378, 'unh': 0.03774, 'narrow': 0.03774, 'capit': 0.03759, '70km': 0.03717, 'ha': 0.0369, 'them': 0.03662, 'oppo': 0.03658, 'addit': 0.03621, 'kharkiv': 0.03566, 'recaptur': 0.03564, 'execut': 0.03546, 'now': 0.03526, 'through': 0.03526, 'inaccur': 0.0352, 'array': 0.0352, 'airborn': 0.03432, 'fail': 0.03385, 'btg': 0.03331, 'seek': 0.03301, 'belaru': 0.03278, 'plan': 0.03255, 'line': 0.03254, 'coordin': 0.03243, 'late': 0.03228, 'northeastern': 0.03226, 'their': 0.03196, 'attack': 0.03196, 'issu': 0.03166, 'western': 0.03164, 'toward': 0.03112, 'refrain': 0.03104}"
2022-02-27,"{'forc': 0.44465, 'russian': 0.43641, 'februari': 0.34708, 'seven': 0.24367, 'twenti': 0.23888, 'ukrainian': 0.18115, 'kyiv': 0.18084, 'advanc': 0.1143, 'pau': 0.11246, 'ukrain': 0.09881, 'oper': 0.08646, 'zaprozhia': 0.08456, 'citi': 0.07486, 'not': 0.07411, 'mariupol': 0.07207, '10am': 0.0719, 'addit': 0.07157, 'six': 0.06993, 'air': 0.06651, 'isol': 0.06291, 'remain': 0.0622, 'heavier': 0.06154, 'commit': 0.05716, 'west': 0.05427, 'report': 0.05366, 'halt': 0.05066, 'threaten': 0.05064, 'crimea': 0.0501, 'dnipro': 0.04996, 'continu': 0.04953, 'enter': 0.04947, 'donba': 0.04937, 'contact': 0.04881, 'time': 0.04846, 'axi': 0.04764, 'chernihiv': 0.04703, 'began': 0.04625, 'take': 0.04624, 'suppli': 0.04588, 'conduct': 0.04552, 'larg': 0.04453, 'reclaim': 0.04377, '1pm': 0.04377, '11am': 0.04377, 'yet': 0.04318, 'toward': 0.04305, 'line': 0.04287, 'resum': 0.04256, 'use': 0.0424, 'kharkiv': 0.04229, 'mikolayiv': 0.04228, 'staff': 0.04201, 'western': 0.0417, 'gener': 0.04159, 'fight': 0.04143, 'pin': 0.04118, 'firepow': 0.04103, 'after': 0.0397, 'element': 0.03938, 'column': 0.03906, 'local': 0.03865, 'next': 0.03854, 'acut': 0.03812, 'initi': 0.03804, 'north': 0.03711, 'armor': 0.03671, 'overcom': 0.03663, 'deploy': 0.03657, 'forward': 0.03656, 'seek': 0.03654, 'reserv': 0.03651, 'river': 0.03591, 'concentr': 0.03574, 'unknown': 0.03527, 'offen': 0.03483, 'unh': 0.03481, 'narrow': 0.03481, 'encircl': 0.03449, 'major': 0.03445, 'broad': 0.03429, 'east': 0.03418, 'airfield': 0.0341, 'them': 0.03378, 'as': 0.03378, 'seiz': 0.03335, 'hour': 0.03275, 'artilleri': 0.03264, 'night': 0.03254, 'enabl': 0.03206, 'aviat': 0.03175, 'day': 0.03168, 'place': 0.03155, 'assault': 0.03134, 'approach': 0.03115, '4th': 0.03098, 'if': 0.03094, 'howev': 0.03045, 'belaru': 0.03024, 'rifl': 0.02976, 'attack': 0.02948}"
2022-02-28,"{'februari': 0.41423, 'russian': 0.40593, 'forc': 0.3574, 'eight': 0.28098, 'twenti': 0.26515, 'ukrainian': 0.20297, 'kyiv': 0.1473, 'ukrain': 0.10589, 'asset': 0.10032, 'air': 0.09869, 'advanc': 0.09528, 'seven': 0.08705, 'artilleri': 0.08495, 'mariupol': 0.07723, 'western': 0.07596, 'use': 0.07573, 'oper': 0.07501, 'atgm': 0.07328, 'am': 0.07243, 'assault': 0.07196, 'addit': 0.07159, 'russia': 0.06635, 'attack': 0.0632, 'heavi': 0.05979, 'overcom': 0.05889, 'belarusian': 0.05859, 'report': 0.05751, 'mykolayiv': 0.05663, 'kharkiv': 0.05539, 'danger': 0.05414, 'seek': 0.05221, 'baturyn': 0.05137, 'may': 0.0508, 'belaru': 0.04861, 'eleven': 0.04841, 'thermobar': 0.04778, 'axe': 0.04673, 'be': 0.04642, 'resum': 0.04561, 'zaprozhia': 0.04531, 'day': 0.04526, 'deploy': 0.04479, 'citi': 0.04457, 'it': 0.04452, 'renew': 0.04449, 'not': 0.04412, 'come': 0.04391, 'phase': 0.04311, 'out': 0.0411, 'infiltr': 0.04085, 'halt': 0.04072, 'defen': 0.04063, 'crimea': 0.04027, 'northeastern': 0.03987, 'continu': 0.03981, 'interdict': 0.03981, 'launch': 0.03971, 'if': 0.03868, 'mile': 0.03856, 'civilian': 0.03749, 'unh': 0.03731, 'against': 0.03704, 'line': 0.03676, 'airfield': 0.03655, 'casualti': 0.03636, 'repul': 0.03622, 'pau': 0.03616, 'toward': 0.03589, 'militari': 0.03548, 'they': 0.03525, 'inflict': 0.03523, 'missil': 0.03522, 'through': 0.03485, 'inflect': 0.03396, 'approach': 0.03339, 'remain': 0.03333, 'resuppli': 0.0332, 'began': 0.03304, 'choo': 0.03294, 'superior': 0.0325, 'axi': 0.03249, 'attempt': 0.03216, 'ha': 0.03192, 'aid': 0.03178, 'light': 0.03155, 'guid': 0.03155, 'support': 0.03144, 'unconfirm': 0.03097, 'shipment': 0.03097, 'below': 0.03097, 'refrain': 0.03069, 'increasingli': 0.03017, 'date': 0.02997, 'airport': 0.02991, 'logist': 0.0298, 'increa': 0.02967, 'west': 0.02908, 'march': 0.02829, 'ground': 0.02813, 'defend': 0.02792}"
2022-03-01,"{'russian': 0.3953, 'kyiv': 0.28465, 'forc': 0.27865, 'envelop': 0.21962, 'chernihiv': 0.18504, 'hour': 0.16755, 'convoy': 0.16057, 'encircl': 0.15383, 'maxar': 0.13114, 'ukrainian': 0.11664, 'it': 0.11623, 'appear': 0.11351, 'citi': 0.11129, 'march': 0.11078, 'attack': 0.10607, 'renew': 0.10455, 'twenti': 0.10071, 'desna': 0.09429, 'west': 0.09253, 'sumi': 0.09175, 'next': 0.09098, 'airfield': 0.08946, 'effort': 0.08489, 'report': 0.08446, 'oper': 0.08424, 'be': 0.07499, 'combat': 0.0733, 'zaprozhya': 0.07175, 'east': 0.06917, 'fastiv': 0.06889, 'posit': 0.0663, 'concentr': 0.06563, 'technolog': 0.06482, 'antonov': 0.06457, 'air': 0.06442, 'road': 0.06356, 'column': 0.06148, 'missil': 0.06036, 'okhtyrka': 0.06, 'belaru': 0.0595, 'support': 0.05937, 'kharkiv': 0.05917, 'ring': 0.05877, 'makariv': 0.05766, 'forward': 0.05754, 'mariupol': 0.05672, 'mile': 0.05663, 'link': 0.05584, 'near': 0.05551, 'ground': 0.05509, 'gomel': 0.05479, 'capit': 0.05457, 'axi': 0.05454, 'against': 0.0544, 'imageri': 0.05418, 'screen': 0.05319, 'element': 0.05313, 'reduc': 0.05264, 'seiz': 0.05249, 'eight': 0.05158, 'axe': 0.05148, 'artilleri': 0.05137, 'last': 0.05085, 'complet': 0.05085, 'unabl': 0.04885, 'resuppli': 0.04876, 'along': 0.04821, 'rather': 0.04806, 'ha': 0.04688, 'as': 0.04653, 'with': 0.04641, 'isw': 0.04617, 'much': 0.04607, 'consist': 0.04512, 'up': 0.04488, 'move': 0.04444, 'reportedli': 0.04426, 'south': 0.04381, 'multipl': 0.04367, 'forti': 0.04262, 'ultim': 0.04254, 'reinforc': 0.04187, 'bombard': 0.04158, 'more': 0.04111, 'offen': 0.04111, 'uniform': 0.04014, 'rapid': 0.04014, 'kherson': 0.03968, 'helicopt': 0.03961, 'russia': 0.03898, 'enter': 0.03893, 'within': 0.03893, 'numer': 0.03884, 'seventi': 0.0388, 'rocket': 0.0384, 'could': 0.03792, 'although': 0.03788, 'hostolmel': 0.03772, 'craft': 0.03772, 'bokov': 0.03772}"
2022-03-02,"{'march': 0.44446, 'russian': 0.37638, 'forc': 0.34667, 'kyiv': 0.30454, 'envelop': 0.18462, 'ukrainian': 0.17829, 'chernihiv': 0.1697, 'citi': 0.13507, 'sumi': 0.09349, 'hour': 0.08864, 'as': 0.08635, 'zhytomyr': 0.0851, 'advanc': 0.08148, 'oper': 0.07924, 'assault': 0.07538, 'mariupol': 0.07224, 'civilian': 0.07214, 'desna': 0.07206, 'resum': 0.07167, 'next': 0.06953, 'continu': 0.06951, 'encircl': 0.06915, 'surrend': 0.06728, 'west': 0.06528, 'bombard': 0.06356, 'toward': 0.0633, 'it': 0.06107, 'am': 0.06097, 'isw': 0.06049, 'local': 0.05978, 'not': 0.05943, 'deeper': 0.05858, 'kozelet': 0.05766, 'axi': 0.05731, 'infrastructur': 0.05685, 'catastroph': 0.05653, 'effort': 0.05489, 'horenychi': 0.05483, 'time': 0.05246, 'offen': 0.05236, 'outflank': 0.05086, 'pocket': 0.05078, 'reduc': 0.05029, 'stronger': 0.04935, 'residenti': 0.04883, 'outskirt': 0.04802, 'mykolayiv': 0.04767, 'delib': 0.04755, 'twenti': 0.04618, 'rather': 0.04591, 'kharkiv': 0.04522, 'report': 0.04468, 'central': 0.04378, 'appear': 0.04337, 'resist': 0.04194, 'approxim': 0.04182, 'east': 0.04112, 'zaporizhya': 0.04065, 'support': 0.04033, 'secur': 0.04018, 'addit': 0.04018, 'humanitarian': 0.04016, '65km': 0.04009, 'renew': 0.03995, 'film': 0.03956, 'noon': 0.03858, 'separ': 0.03758, 'belarusian': 0.03758, 'fail': 0.03756, 'orlov': 0.03611, 'zero': 0.03602, 'combat': 0.03565, 'kherson': 0.03538, 'assess': 0.03529, 'russia': 0.03475, 'up': 0.0343, 'counterattack': 0.03411, 'retain': 0.03298, 'brigad': 0.03286, 'done': 0.03276, 'previou': 0.03272, 'ultim': 0.03251, 'center': 0.03243, 'launch': 0.03183, 'frontal': 0.03178, 'into': 0.03134, 'column': 0.03132, 'be': 0.03126, 'may': 0.0311, 'campaign': 0.031, 'uniform': 0.03068, 'two': 0.03063, 'casualti': 0.03061, 'halt': 0.03047, 'attack': 0.0304, 'critic': 0.0303, 'area': 0.03025, 'gener': 0.03002, 'conduct': 0.02987, 'claim': 0.02987}"
2022-03-03,"{'march': 0.40877, 'russian': 0.39731, 'forc': 0.33354, 'kyiv': 0.29302, 'ukrainian': 0.20601, 'chernihiv': 0.15407, 'envelop': 0.13299, 'btg': 0.12202, 'mykolayiv': 0.11017, 'encircl': 0.09589, 'advanc': 0.09583, 'noon': 0.09552, 'halt': 0.09054, 'zhytomyr': 0.08429, 'sumi': 0.08102, 'surrend': 0.07997, 'gener': 0.07928, 'oper': 0.07848, 'as': 0.07546, 'west': 0.07543, 'staff': 0.07508, 'effort': 0.07414, 'russia': 0.07376, 'ke': 0.07331, 'air': 0.07314, 'mariupol': 0.07155, 'town': 0.07127, 'kharkiv': 0.06718, 'novoaidar': 0.06673, 'makariv': 0.06546, 'citi': 0.06441, 'report': 0.06393, 'not': 0.06377, 'toward': 0.06269, 'attempt': 0.06129, 'zaporizhya': 0.06039, 'time': 0.05773, 'bypass': 0.05736, 'support': 0.05492, 'superior': 0.0542, 'continu': 0.05409, 'havrylivka': 0.05214, 'addit': 0.05116, 'it': 0.04949, 'probabl': 0.04906, 'twenty': 0.04888, 'capitul': 0.04867, 'su': 0.04793, '200th': 0.04758, 'offen': 0.04668, 'extent': 0.04621, 'local': 0.04605, 'missil': 0.04568, 'two': 0.04551, 'peremoha': 0.04541, 'land': 0.04534, 'attack': 0.04516, 'oblast': 0.04426, 'ukrain': 0.04415, 'new': 0.04345, 'remain': 0.04323, 'far': 0.04193, 'combin': 0.04142, 'axi': 0.04128, 'lnr': 0.0408, 'brigad': 0.04068, 'am': 0.04026, 'element': 0.04022, 'with': 0.04014, 'secur': 0.03979, 'drive': 0.03759, 'assault': 0.03733, 'belarusian': 0.03722, 'dnipro': 0.0372, 'along': 0.03649, 'belaru': 0.03603, 'by': 0.03585, 'plan': 0.03578, 'civilian': 0.03573, 'can': 0.03563, 'open': 0.03557, 'main': 0.03548, 'motor': 0.03512, 'emd': 0.03507, 'take': 0.03443, 'destroy': 0.03406, 'confirm': 0.03385, 'south': 0.03316, 'starobilsk': 0.03245, 'armi': 0.03229, 'ultim': 0.0322, 'near': 0.03151, 'bombard': 0.03148, 'line': 0.03065, '40km': 0.03059, 'three': 0.03056, 'uniform': 0.03038, 'kherson': 0.03003, 'isw': 0.02996, 'assess': 0.02996}"
2022-03-04,"{'russian': 0.38466, 'forc': 0.32392, 'kyiv': 0.28456, 'mykolayiv': 0.17322, 'ukrainian': 0.14172, 'as': 0.13843, 'chernihiv': 0.11562, 'march': 0.11536, 'odesa': 0.10812, 'they': 0.10782, 'attempt': 0.10541, 'west': 0.10377, 'brovari': 0.10047, 'seiz': 0.09839, 'it': 0.09835, 'sumi': 0.09555, 'hour': 0.09395, 'envelop': 0.09148, 'could': 0.08884, 'might': 0.08845, 'btg': 0.08394, 'zaporizhya': 0.08308, 'dnipro': 0.08188, 'renew': 0.08166, 'effort': 0.0816, 'bridg': 0.08025, 'via': 0.07962, 'ground': 0.07889, 'secur': 0.07821, 'hostomel': 0.07792, 'airborn': 0.07784, 'advanc': 0.07633, 'encircl': 0.07538, 'axi': 0.07099, 'itself': 0.06984, 'ha': 0.06974, 'amphibi': 0.06919, 'their': 0.06904, 'gener': 0.06817, 'citi': 0.06817, 'oper': 0.06748, 'electr': 0.06594, 'desna': 0.06546, 'bank': 0.06525, 'near': 0.06504, 'east': 0.06403, 'suburb': 0.06357, 'twenti': 0.06293, 'eastern': 0.06293, 'znpp': 0.0629, 'trace': 0.06248, 'kilomet': 0.06238, 'continu': 0.06089, 'bypass': 0.05919, 'mariupol': 0.05906, 'reliabl': 0.05798, 'destroy': 0.05623, 'come': 0.05597, 'forti': 0.05547, 'navi': 0.05539, 'attack': 0.05523, 'staff': 0.05509, 'report': 0.05412, 'den': 0.0539, 'drive': 0.05172, 'more': 0.05138, 'crimea': 0.05132, 'built': 0.05078, 'outcom': 0.05024, 'town': 0.04903, 'concentr': 0.04881, 'plant': 0.04802, 'hydroelectr': 0.0478, 'few': 0.04777, 'next': 0.04737, 'appear': 0.04728, 'current': 0.04711, 'land': 0.04679, 'up': 0.04673, 'belong': 0.04653, 'spetsnaz': 0.04613, 'troop': 0.04574, 'combin': 0.04558, 'naval': 0.04512, 'dam': 0.045, 'power': 0.0447, 'ultim': 0.0443, 'depend': 0.04396, 'bombard': 0.0433, 'been': 0.04304, 'eight': 0.04297, 'offen': 0.04281, 'be': 0.04259, 'may': 0.04238, 'around': 0.04216, 'rapidli': 0.04209, 'northeast': 0.04193, 'begin': 0.04141, 'support': 0.04121, 'enter': 0.04054}"
2022-03-05,"{'russian': 0.426, 'kyiv': 0.24949, 'march': 0.24275, 'forc': 0.1988, 'hour': 0.16945, 'amphibi': 0.16177, 'report': 0.16134, 'ukrainian': 0.12307, 'oper': 0.12307, 'citi': 0.11476, 'past': 0.11292, 'near': 0.11151, 'caa': 0.10571, 'twenti': 0.09808, 'staff': 0.0966, 'gener': 0.09563, 'odesa': 0.09479, 'rape': 0.09433, 'btg': 0.0942, 'ultim': 0.09321, 'mykolayiv': 0.09112, 'kharkiv': 0.08643, '20th': 0.07972, 'may': 0.07927, 'resum': 0.07829, 'element': 0.07762, 'humanitarian': 0.07676, '22nd': 0.07663, 'were': 0.07659, 'our': 0.07636, 'armi': 0.07478, 'offen': 0.07007, 'town': 0.06877, 'prepar': 0.06685, 'effort': 0.06677, 'tri': 0.06633, 'toward': 0.066, 'envelop': 0.06417, 'troop': 0.06416, 'combin': 0.06395, 'naval': 0.0633, 'west': 0.06239, '8th': 0.05988, 'axi': 0.05975, 'against': 0.0596, 'ship': 0.05904, 'with': 0.05811, 'helicopt': 0.05786, 'coast': 0.05711, 'continu': 0.05694, 'not': 0.0568, 'infantri': 0.05648, 'forward': 0.05604, 'raid': 0.05536, 'merit': 0.05511, 'drive': 0.05441, 'link': 0.05438, 'encircl': 0.05287, 'priluki': 0.05241, 'modif': 0.05241, 'devot': 0.05241, 'aboard': 0.05241, 'protest': 0.052, 'rifl': 0.05132, 'motor': 0.05084, 'among': 0.05052, 'divi': 0.05037, 'escort': 0.05032, 'axe': 0.05013, 'northern': 0.05012, 'be': 0.04979, 'appear': 0.04974, 'advanc': 0.04867, 'westand': 0.04861, 'ivankiv': 0.04861, 'harshli': 0.04861, 'excel': 0.04861, 'as': 0.04855, 'attack': 0.04842, 'roughli': 0.04798, 'remain': 0.04767, 'militari': 0.04757, 'major': 0.04753, 'nizhyn': 0.04717, 'antonov': 0.04717, 'brigad': 0.04711, 'forti': 0.04669, 'osint': 0.04591, 'hostag': 0.04591, 'excu': 0.04591, 'ambush': 0.04591, '31st': 0.04591, 'east': 0.04491, 'much': 0.04487, 'slight': 0.04481, 'sumi': 0.04468, 'northwest': 0.04457, 'next': 0.0443, 'peremoha': 0.04382, 'mouth': 0.04382}"
